name,vuln-id,published,modified,source,severity,vuln-type,vuln-descript,cve-id,vuln-solution
WordPress plugin Advanced Access Manager 跨站脚本漏洞,CNNVD-202402-034,2024-02-01,2024-02-05,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Advanced Access Manager 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51674,
GLPI 跨站脚本漏洞,CNNVD-202402-049,2024-02-01,2024-02-19,,中危,跨站脚本,GLPI是个人开发者的一款开源IT和资产管理软件。该软件提供功能全面的IT资源管理接口，你可以用它来建立数据库全面管理IT的电脑，显示器，服务器，打印机，网络设备，电话，甚至硒鼓和墨盒等。 GLPI 10.0.12之前版本存在跨站脚本漏洞，该漏洞源于报告页面包含跨站脚本漏洞，恶意 URL 可在报告页面上执行跨站脚本攻击。,CVE-2024-23645,
WordPress plugin RegistrationMagic 跨站脚本漏洞,CNNVD-202402-021,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin RegistrationMagic 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51509,
WordPress plugin WPCS 跨站脚本漏洞,CNNVD-202402-031,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin WPCS 存在安全漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51506,
GLPI 注入漏洞,CNNVD-202402-052,2024-02-01,2024-02-19,,高危,注入,GLPI是个人开发者的一款开源IT和资产管理软件。该软件提供功能全面的IT资源管理接口，你可以用它来建立数据库全面管理IT的电脑，显示器，服务器，打印机，网络设备，电话，甚至硒鼓和墨盒等。 GLPI 0.70版本及之后版本存在注入漏洞，该漏洞源于当针对 LDAP 进行身份验证时，身份验证表单可用于执行 LDAP 注入。,CVE-2023-51446,
WordPress plugin Infogram 跨站脚本漏洞,CNNVD-202402-014,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Infogram 存在安全漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-52191,
OpenEXR 缓冲区错误漏洞,CNNVD-202402-071,2024-02-01,2024-02-27,,超危,缓冲区错误,OpenEXR是一种高动态范围图像（HDR）文件格式的开放标准。 OpenEXR 3.2.1及之前版本存在缓冲区错误漏洞，该漏洞源于无法验证包含深度扫描线数据的扫描线样本数量，容易受到基于堆的缓冲区溢出漏洞影响。,CVE-2023-5841,
WordPress plugin WP Review Slider 跨站脚本漏洞,CNNVD-202402-051,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin WP Review Slider 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51685,
WordPress plugin SlickNav Mobile Menu 跨站脚本漏洞,CNNVD-202402-035,2024-02-01,2024-02-05,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin SlickNav Mobile Menu 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51548,
WordPress plugin Icegram Engage 跨站脚本漏洞,CNNVD-202402-074,2024-02-01,2024-02-29,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Icegram Engage 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51532,
